Burgmüller,92
Cramer,92
Boismortier,92
Pousseur,91
Gubajdulina,91
Nivers,91
Campo,91
Vivier,90
Di Villati,90
Nicolas,90
Zazzerino,90
***,90
Lachabeaussière,90
Del Tredici,90
Adamek,90
Codini,90
Le Roy,90
Danchet,90
Lhéritier,90
Naón,90
Barbirolli,89
Grøndahl,88
Leborne,88
Narboni,88
Tye,88
Piccini,88
Gungl,88
Carman,88
Legrenzi,88
Giordaniello,88
Barthélemy,88
Benevoli,88
Márquez,88
Christophe,88
Viotti,87
Méfano,86
David,86
Broustet,85
Bochsa,84
Chin,84
Chédeville,84
Barraqué,84
Brown,84
Simons,84
Faivre,84
Dietrich,84
Rabaud,84
Nietzsche,84
Hagen,84
Fart-Hing,84
Daniel,84
Mulsant,84
Schulhoff,84
Bernard,83
Castiglioni,83
Chailley,82
Montsalvatge,82
Cazaneuve,82
Sullivan,82
Moultaka,81
Roland de Lassus,61056
Mozart,56245
Chopin,43362
Josquin Des Prés,25623
Igor Stravinsky,19488
Felix Mendelssohn Bartholdy,15825
Pietro Metastasio,12804
Nikolaj Andreevič Rimskij-Korsakov,11583
Alphonse,11323
Claude Debussy,10830
Sergueï Vassilievitch Rakhmaninov,10040
Piotr Ilitch Tchaikovski,9864
Joseph Haydn,9760
Johann Sebastian Bach,9468
George Frideric Handel,8016
Aleksandr Sergeevič Dargomyžskij,7980
Franz Liszt,7806
Tōru Takemitsu,7497
Richard Wagner,7440
Modest Petrovitch Mousorgskiĭ,7344
Dmitrij Dmitrievič Šostakovič,7315
Robert Schumann,7304
Ludwig van Beethoven,6588
Johannes Brahms,5958
Charles Gounod,5800
Franz Schubert,5612
Antonio Vivaldi,5352
Louis Saguer,5096
Théodore de Bèze,4875
Enrique Granados,4725
Domenico Scarlatti,4692
Giya Alexandrovich Kancheli,4410
Marc Antoine Charpentier,4332
Paul Hindemith,4284
Jean-Baptiste Lully,4260
Georg Philipp Telemann,4230
Alfred Schnittke,4214
William Byrd,4104
Michael Praetorius,4074
Francesco Cavalli,4060
François Couperin,4056
Benoît-Joseph Marsollier des Vivetières,4046
Jean Sibelius,3872
Baldassare Galuppi,3861
Johann Strauss,3861
Henry Purcell,3834
Giacomo Meyerbeer,3640
Ludwig Senfl,3626
Claudio Monteverdi,3624
Johann Baptist Vanhal,3500
Edward Elgar,3375
Alessandro Scarlatti,3372
Moisej Samuilovič Vajnberg,3300
Henri Sauguet,3264
Alexander Glasunow,3185
Carl Philipp Emanuel Bach,3162
Dmitri Kabalevski,3150
Carlo Gesualdo,3120
Luigi Cherubini,3090
Federico Mompou,3030
Antoine Boësset,2944
Camille Saint-Saëns,2940
M***,2873
Richard Strauss,2868
Jacques Arcadelt,2856
Èdison Vasil´evič Denisov,2730
Edvard Grieg,2704
Jean-Philippe Rameau,2652
Johann Christian Bach,2646
Erik Satie,2632
Peter Philips,2556
Jean-Jacques Rousseau,2541
Francis Poulenc,2538
Maurice Ravel,2484
Sergej Ivanovič Taneev,2478
François-Joseph Gossec,2475
Gabriel Fauré,2442
Charles Koechlin,2442
Francisco Tárrega,2408
Victor Hugo,2400
John Bull,2400
Luigi Boccherini,2388
Domenico Cimarosa,2346
Benjamin Britten,2244
Giuseppe Verdi,2232
Anatolij Konstantinovič Lâdov,2128
Bedřich Smetana,2112
Hugo Wolf,2070
Fanny Hensel,2070
Adriano Banchieri,2048
Anton Grigor´evič Rubinštejn,2048
Karol Szymanowski,2040
Iannis Xenakis,2040
Thomas Crecquillon,2016
Mihail Ivanovitsch Glinka,1998
Heitor Villa-Lobos,1976
Hector Berlioz,1962
